# time	avg1_10	std1_10	avg2_10	std2_10	corr_10	avg1m_10	std1m_10	avg2m_10	std2m_10	corrm_10
0.000000	0.000000	0.000000	0.000000	0.000000	-0.209964	0.000000	0.000000	0.000000	0.000000	0.124690
1.000000	0.691000	0.800949	0.679000	0.774570	0.003695	0.695000	0.808687	0.708000	0.784051	0.196416
2.000000	1.258000	1.033168	1.308000	1.033990	0.029779	1.293000	1.080348	1.270000	1.029126	0.226163
3.000000	1.752000	1.187643	1.769000	1.153967	0.239253	1.765000	1.232792	1.755000	1.199573	0.089660
4.000000	2.173000	1.293472	2.207000	1.255449	0.527664	2.131000	1.335604	2.184000	1.296975	0.072921
5.000000	2.529000	1.401841	2.537000	1.325380	0.201923	2.516000	1.416243	2.535000	1.359697	0.196587
6.000000	2.802000	1.465877	2.833000	1.370077	-0.195134	2.862000	1.432116	2.846000	1.412191	0.225611
7.000000	3.040000	1.533754	3.094000	1.439154	-0.024289	3.073000	1.449024	3.083000	1.470412	0.355940
8.000000	3.260000	1.528529	3.235000	1.446297	0.406532	3.260000	1.460274	3.299000	1.524336	0.389786
9.000000	3.394000	1.540378	3.410000	1.477126	0.017746	3.474000	1.472863	3.477000	1.538009	-0.059550
10.000000	3.572000	1.529973	3.547000	1.489225	0.227023	3.593000	1.507100	3.575000	1.570470	-0.114826
11.000000	3.714000	1.552483	3.665000	1.517490	0.087986	3.731000	1.540986	3.696000	1.545828	-0.128035
12.000000	3.820000	1.568949	3.719000	1.515269	0.404189	3.912000	1.554431	3.798000	1.577085	0.341642
13.000000	3.897000	1.562175	3.798000	1.548934	0.001016	3.971000	1.557613	3.905000	1.564601	-0.094259
14.000000	3.913000	1.547072	3.861000	1.574700	-0.209559	4.012000	1.575391	3.977000	1.576220	0.063410
15.000000	3.960000	1.566014	3.906000	1.559219	-0.048172	4.039000	1.584134	3.993000	1.592781	0.128878
16.000000	3.986000	1.574739	3.988000	1.587405	0.153857	4.079000	1.567405	4.049000	1.583224	0.327674
17.000000	4.017000	1.546839	4.017000	1.590821	0.160589	4.170000	1.566238	4.091000	1.581998	-0.088011
18.000000	4.041000	1.556059	3.987000	1.541049	-0.260701	4.188000	1.568648	4.105000	1.570979	0.133120
19.000000	4.037000	1.507193	3.967000	1.529023	0.238049	4.187000	1.568449	4.122000	1.548908	-0.193154
20.000000	4.038000	1.528580	3.990000	1.543341	-0.233963	4.184000	1.557608	4.126000	1.527129	0.203917
21.000000	3.993000	1.561074	3.996000	1.568434	0.345625	4.132000	1.591407	4.150000	1.528888	0.315603
22.000000	3.971000	1.538882	3.972000	1.540525	0.016958	4.111000	1.583881	4.152000	1.524761	0.175148
23.000000	3.963000	1.519747	3.968000	1.559800	-0.009332	4.061000	1.577745	4.128000	1.528926	-0.001438
24.000000	3.957000	1.502382	3.970000	1.592200	-0.059375	4.017000	1.578199	4.163000	1.532459	0.366903
25.000000	3.991000	1.516219	3.965000	1.581068	-0.142196	4.040000	1.608229	4.139000	1.554245	0.023669
26.000000	3.961000	1.532148	4.033000	1.590569	0.423809	4.007000	1.554011	4.152000	1.568087	0.198328
27.000000	3.940000	1.541558	4.030000	1.561762	0.229159	4.031000	1.589981	4.120000	1.588584	0.164395
28.000000	3.977000	1.545468	4.036000	1.582626	0.117849	4.050000	1.599219	4.106000	1.557807	0.195446
29.000000	3.978000	1.558690	4.028000	1.586574	-0.121052	4.063000	1.575129	4.083000	1.551164	0.213725
30.000000	4.008000	1.558825	4.042000	1.586895	-0.021638	4.036000	1.562915	4.065000	1.543624	-0.048774
31.000000	4.042000	1.556353	4.003000	1.574481	0.416526	4.059000	1.580354	4.043000	1.575167	0.047179
32.000000	4.046000	1.532281	4.008000	1.557542	0.154400	4.022000	1.554193	4.019000	1.561614	-0.167031
33.000000	4.018000	1.509860	3.991000	1.533271	0.056290	4.060000	1.523942	4.057000	1.579795	0.011317
