# time	avg1_30	std1_30	avg2_30	std2_30	avg_corr_30	avg1m_30	std1m_30	avg2m_30	std2m_30	avg_corrm_30
0.000000	0.000000	0.000000	0.000000	0.000000	0.026755	0.000000	0.000000	0.000000	0.000000	0.023462
1.000000	2.074000	1.433361	1.994000	1.369658	0.000000	2.127000	1.394586	1.992000	1.407812	0.000000
2.000000	3.858000	1.870250	3.743000	1.802485	0.000000	3.927000	1.876612	3.841000	1.842205	0.000000
3.000000	5.320000	2.092749	5.284000	2.073486	0.000000	5.413000	2.144862	5.236000	2.056770	0.000000
4.000000	6.523000	2.274087	6.505000	2.295643	0.000000	6.726000	2.350516	6.433000	2.295106	0.000000
5.000000	7.525000	2.400286	7.576000	2.476333	0.000000	7.787000	2.529354	7.495000	2.397911	0.000000
6.000000	8.439000	2.470279	8.398000	2.559218	0.000000	8.623000	2.592464	8.354000	2.431190	0.000000
7.000000	9.127000	2.550857	9.114000	2.561836	0.000000	9.276000	2.571736	9.122000	2.541086	0.000000
8.000000	9.675000	2.593718	9.688000	2.496529	0.000000	9.875000	2.630470	9.727000	2.591616	0.000000
9.000000	10.224000	2.576009	10.134000	2.597700	0.000000	10.373000	2.708112	10.240000	2.618855	0.000000
10.000000	10.656000	2.598012	10.578000	2.570198	0.000000	10.728000	2.729472	10.642000	2.627896	0.000000
11.000000	10.998000	2.673574	10.994000	2.622587	0.000000	10.995000	2.672634	10.976000	2.655075	0.000000
12.000000	11.335000	2.732906	11.345000	2.618392	0.000000	11.245000	2.671886	11.203000	2.640036	0.000000
13.000000	11.555000	2.689047	11.623000	2.644782	0.000000	11.586000	2.657180	11.404000	2.640224	0.000000
14.000000	11.785000	2.750050	11.778000	2.664342	0.000000	11.846000	2.730253	11.548000	2.693269	0.000000
15.000000	11.895000	2.738973	11.879000	2.597760	0.000000	11.975000	2.710051	11.611000	2.675384	0.000000
16.000000	11.969000	2.664965	12.031000	2.640841	0.000000	12.113000	2.723276	11.789000	2.679268	0.000000
17.000000	12.109000	2.720500	12.066000	2.642659	0.000000	12.161000	2.732962	11.921000	2.666601	0.000000
18.000000	12.208000	2.723736	12.131000	2.595349	0.000000	12.227000	2.717990	11.996000	2.702218	0.000000
19.000000	12.212000	2.736249	12.325000	2.646389	0.000000	12.314000	2.670843	12.039000	2.793113	0.000000
20.000000	12.239000	2.749887	12.361000	2.621961	0.000000	12.283000	2.623149	12.082000	2.708741	0.000000
21.000000	12.236000	2.818919	12.439000	2.725120	0.000000	12.337000	2.627438	12.116000	2.703802	0.000000
22.000000	12.295000	2.791411	12.374000	2.708528	0.000000	12.298000	2.603305	12.088000	2.671377	0.000000
23.000000	12.278000	2.769967	12.372000	2.799574	0.000000	12.297000	2.701257	12.088000	2.685192	0.000000
24.000000	12.381000	2.757869	12.355000	2.740251	0.000000	12.302000	2.667357	12.057000	2.654760	0.000000
25.000000	12.408000	2.845968	12.380000	2.767237	0.000000	12.277000	2.651843	12.027000	2.695602	0.000000
26.000000	12.278000	2.828554	12.334000	2.786834	0.000000	12.260000	2.735032	12.034000	2.742051	0.000000
27.000000	12.262000	2.803098	12.335000	2.862302	0.000000	12.287000	2.761273	12.012000	2.676538	0.000000
28.000000	12.302000	2.781869	12.333000	2.846772	0.000000	12.243000	2.775959	11.989000	2.721558	0.000000
29.000000	12.319000	2.796290	12.413000	2.769554	0.000000	12.229000	2.782545	11.931000	2.752860	0.000000
30.000000	12.270000	2.741368	12.337000	2.754166	0.000000	12.217000	2.767293	12.011000	2.700903	0.000000
31.000000	12.257000	2.731840	12.325000	2.649410	0.000000	12.202000	2.762100	11.980000	2.630893	0.000000
32.000000	12.239000	2.712910	12.334000	2.720743	0.000000	12.125000	2.747249	11.928000	2.610137	0.000000
33.000000	12.215000	2.728878	12.305000	2.675439	0.000000	12.095000	2.700736	11.909000	2.672587	0.000000
34.000000	12.157000	2.666524	12.215000	2.700884	0.000000	11.992000	2.702950	11.833000	2.692789	0.000000
35.000000	12.086000	2.740913	12.250000	2.688029	0.000000	11.996000	2.614954	11.842000	2.696115	0.000000
36.000000	12.117000	2.701354	12.203000	2.698850	0.000000	11.950000	2.633154	11.835000	2.726495	0.000000
37.000000	12.105000	2.719922	12.239000	2.731278	0.000000	11.899000	2.572314	11.778000	2.734724	0.000000
38.000000	12.117000	2.766823	12.177000	2.706598	0.000000	11.858000	2.660420	11.720000	2.778777	0.000000
39.000000	12.093000	2.751064	12.185000	2.702365	0.000000	11.804000	2.666755	11.639000	2.812237	0.000000
40.000000	12.062000	2.752118	12.201000	2.744558	0.000000	11.678000	2.687065	11.581000	2.777308	0.000000
41.000000	12.007000	2.738056	12.195000	2.750450	0.000000	11.691000	2.696575	11.460000	2.783236	0.000000
42.000000	11.938000	2.732427	12.117000	2.736295	0.000000	11.647000	2.675143	11.510000	2.717333	0.000000
43.000000	11.925000	2.704695	12.102000	2.699555	0.000000	11.649000	2.659661	11.517000	2.681737	0.000000
44.000000	11.928000	2.662483	12.062000	2.712592	0.000000	11.677000	2.704195	11.450000	2.655089	0.000000
45.000000	11.864000	2.703609	12.078000	2.658931	0.000000	11.621000	2.651294	11.390000	2.670187	0.000000
46.000000	11.802000	2.687898	12.031000	2.617640	0.000000	11.521000	2.669374	11.386000	2.630400	0.000000
47.000000	11.806000	2.658263	12.049000	2.624233	0.000000	11.536000	2.633762	11.369000	2.637203	0.000000
48.000000	11.801000	2.659586	12.034000	2.650065	0.000000	11.511000	2.663809	11.446000	2.618603	0.000000
49.000000	11.782000	2.689698	11.996000	2.595763	0.000000	11.508000	2.646495	11.424000	2.652211	0.000000
50.000000	11.853000	2.663342	11.928000	2.559065	0.000000	11.457000	2.669485	11.413000	2.601236	0.000000
51.000000	11.790000	2.645732	11.857000	2.527954	0.000000	11.391000	2.677708	11.411000	2.681805	0.000000
52.000000	11.768000	2.613461	11.885000	2.532543	0.000000	11.316000	2.648045	11.392000	2.679242	0.000000
53.000000	11.705000	2.658942	11.875000	2.558393	0.000000	11.269000	2.687125	11.325000	2.611393	0.000000
54.000000	11.669000	2.683922	11.826000	2.582194	0.000000	11.274000	2.683454	11.378000	2.617082	0.000000
55.000000	11.659000	2.714538	11.830000	2.588262	0.000000	11.277000	2.704121	11.348000	2.699796	0.000000
56.000000	11.609000	2.722521	11.851000	2.629220	0.000000	11.259000	2.732383	11.328000	2.746710	0.000000
57.000000	11.608000	2.706721	11.884000	2.620027	0.000000	11.200000	2.750636	11.334000	2.726984	0.000000
58.000000	11.570000	2.721966	11.861000	2.629388	0.000000	11.190000	2.705901	11.385000	2.738389	0.000000
59.000000	11.535000	2.689010	11.853000	2.651300	0.000000	11.195000	2.750814	11.408000	2.745093	0.000000
60.000000	11.510000	2.639678	11.793000	2.664611	0.000000	11.207000	2.715171	11.400000	2.773085	0.000000
61.000000	11.494000	2.575648	11.763000	2.664738	0.000000	11.155000	2.700921	11.375000	2.749614	0.000000
62.000000	11.501000	2.604611	11.747000	2.610171	0.000000	11.131000	2.739314	11.350000	2.696943	0.000000
63.000000	11.533000	2.650455	11.753000	2.630588	0.000000	11.094000	2.743568	11.338000	2.655514	0.000000
64.000000	11.506000	2.672071	11.626000	2.633652	0.000000	11.082000	2.728970	11.283000	2.700909	0.000000
65.000000	11.524000	2.664850	11.615000	2.647787	0.000000	11.092000	2.710634	11.215000	2.706063	0.000000
66.000000	11.542000	2.678103	11.598000	2.643557	0.000000	11.085000	2.748413	11.236000	2.747782	0.000000
67.000000	11.577000	2.574504	11.575000	2.647334	0.000000	11.119000	2.661360	11.191000	2.703797	0.000000
68.000000	11.530000	2.520932	11.494000	2.584176	0.000000	11.121000	2.667276	11.213000	2.698079	0.000000
69.000000	11.523000	2.487463	11.459000	2.595442	0.000000	11.107000	2.670496	11.209000	2.762846	0.000000
70.000000	11.521000	2.511884	11.453000	2.669418	0.000000	11.107000	2.766144	11.181000	2.721808	0.000000
71.000000	11.489000	2.550270	11.427000	2.682288	0.000000	11.077000	2.763163	11.160000	2.693399	0.000000
72.000000	11.548000	2.556110	11.390000	2.751709	0.000000	11.086000	2.737993	11.077000	2.725265	0.000000
73.000000	11.535000	2.595145	11.376000	2.672195	0.000000	11.015000	2.737659	10.967000	2.681028	0.000000
74.000000	11.561000	2.641643	11.404000	2.592833	0.000000	10.923000	2.697605	10.917000	2.622234	0.000000
75.000000	11.537000	2.695669	11.433000	2.647170	0.000000	10.847000	2.698813	10.918000	2.712799	0.000000
76.000000	11.524000	2.710244	11.467000	2.658366	0.000000	10.884000	2.653025	10.887000	2.702634	0.000000
77.000000	11.472000	2.698373	11.479000	2.658488	0.000000	10.909000	2.684533	10.879000	2.669149	0.000000
78.000000	11.494000	2.558508	11.405000	2.665141	0.000000	10.947000	2.764451	10.880000	2.678358	0.000000
79.000000	11.456000	2.551875	11.358000	2.686231	0.000000	10.948000	2.777642	10.893000	2.661118	0.000000
80.000000	11.492000	2.496385	11.345000	2.746994	0.000000	10.954000	2.742241	10.881000	2.710874	0.000000
81.000000	11.452000	2.596863	11.398000	2.718013	0.000000	10.878000	2.702058	10.914000	2.714886	0.000000
82.000000	11.365000	2.559644	11.483000	2.742209	0.000000	10.880000	2.739635	10.966000	2.699045	0.000000
83.000000	11.371000	2.597953	11.486000	2.706253	0.000000	10.848000	2.710147	10.968000	2.721943	0.000000
84.000000	11.390000	2.657424	11.462000	2.708239	0.000000	10.899000	2.656464	10.895000	2.652918	0.000000
85.000000	11.477000	2.601436	11.393000	2.700102	0.000000	10.874000	2.669855	10.898000	2.683952	0.000000
86.000000	11.540000	2.629905	11.345000	2.710346	0.000000	10.930000	2.676023	10.949000	2.716321	0.000000
87.000000	11.498000	2.618014	11.373000	2.700717	0.000000	10.862000	2.673753	10.989000	2.704603	0.000000
88.000000	11.480000	2.614116	11.394000	2.696065	0.000000	10.843000	2.688559	10.934000	2.692145	0.000000
89.000000	11.470000	2.604439	11.374000	2.697429	0.000000	10.853000	2.676451	10.951000	2.693808	0.000000
90.000000	11.442000	2.651535	11.434000	2.714709	0.000000	10.884000	2.623841	10.853000	2.731555	0.000000
91.000000	11.394000	2.575415	11.388000	2.698417	0.000000	10.858000	2.664176	10.907000	2.770984	0.000000
92.000000	11.421000	2.533724	11.425000	2.676635	0.000000	10.789000	2.630300	10.880000	2.789552	0.000000
93.000000	11.458000	2.628352	11.386000	2.656879	0.000000	10.823000	2.643799	10.921000	2.820773	0.000000
94.000000	11.384000	2.619264	11.414000	2.666947	0.000000	10.785000	2.621979	10.884000	2.840518	0.000000
95.000000	11.404000	2.585495	11.392000	2.686324	0.000000	10.821000	2.621251	10.921000	2.756585	0.000000
96.000000	11.363000	2.682766	11.370000	2.673032	0.000000	10.845000	2.625448	10.909000	2.822538	0.000000
97.000000	11.309000	2.683192	11.327000	2.639710	0.000000	10.894000	2.590514	10.847000	2.774453	0.000000
98.000000	11.289000	2.743625	11.279000	2.630429	0.000000	10.929000	2.597298	10.810000	2.764760	0.000000
99.000000	11.254000	2.700275	11.291000	2.630650	0.000000	10.908000	2.593364	10.836000	2.748655	0.000000
100.000000	11.224000	2.649872	11.266000	2.659181	0.000000	10.956000	2.619554	10.794000	2.700290	0.000000
101.000000	11.161000	2.600977	11.284000	2.630845	0.000000	10.994000	2.551855	10.817000	2.683936	0.000000
102.000000	11.239000	2.566297	11.231000	2.672010	0.000000	10.907000	2.541722	10.803000	2.640869	0.000000
103.000000	11.249000	2.612087	11.237000	2.647042	0.000000	10.834000	2.563678	10.792000	2.629589	0.000000
104.000000	11.266000	2.592150	11.208000	2.636046	0.000000	10.846000	2.524734	10.781000	2.640273	0.000000
105.000000	11.236000	2.628746	11.285000	2.670164	0.000000	10.899000	2.573091	10.819000	2.719603	0.000000
106.000000	11.280000	2.596459	11.232000	2.682196	0.000000	10.956000	2.580322	10.802000	2.742772	0.000000
107.000000	11.259000	2.589193	11.178000	2.598907	0.000000	10.967000	2.643844	10.762000	2.667462	0.000000
108.000000	11.250000	2.521012	11.130000	2.559902	0.000000	10.928000	2.633024	10.718000	2.671793	0.000000
109.000000	11.277000	2.531061	11.201000	2.569552	0.000000	10.872000	2.723530	10.734000	2.639175	0.000000
110.000000	11.356000	2.549365	11.169000	2.550772	0.000000	10.876000	2.721511	10.737000	2.640044	0.000000
111.000000	11.410000	2.596902	11.268000	2.660108	0.000000	10.902000	2.691170	10.713000	2.632609	0.000000
112.000000	11.384000	2.660553	11.276000	2.766555	0.000000	10.920000	2.733789	10.713000	2.651534	0.000000
113.000000	11.356000	2.719056	11.294000	2.769759	0.000000	10.881000	2.739861	10.726000	2.620482	0.000000
114.000000	11.364000	2.702130	11.295000	2.714770	0.000000	10.877000	2.733838	10.748000	2.610842	0.000000
115.000000	11.319000	2.660684	11.243000	2.725794	0.000000	10.841000	2.722080	10.759000	2.669629	0.000000
116.000000	11.330000	2.624710	11.228000	2.718826	0.000000	10.814000	2.726794	10.761000	2.599592	0.000000
117.000000	11.333000	2.635168	11.234000	2.692813	0.000000	10.830000	2.774725	10.696000	2.606450	0.000000
118.000000	11.309000	2.620214	11.220000	2.708062	0.000000	10.856000	2.745044	10.692000	2.674909	0.000000
119.000000	11.259000	2.658932	11.245000	2.686071	0.000000	10.829000	2.684727	10.710000	2.682517	0.000000
120.000000	11.293000	2.595987	11.277000	2.635578	0.000000	10.835000	2.765099	10.761000	2.680649	0.000000
121.000000	11.286000	2.567918	11.283000	2.648568	0.000000	10.807000	2.752772	10.795000	2.641018	0.000000
122.000000	11.260000	2.646961	11.245000	2.613996	0.000000	10.760000	2.729542	10.772000	2.631733	0.000000
123.000000	11.180000	2.738540	11.275000	2.660709	0.000000	10.802000	2.729248	10.806000	2.680366	0.000000
124.000000	11.136000	2.689889	11.196000	2.616024	0.000000	10.758000	2.741430	10.763000	2.660607	0.000000
125.000000	11.115000	2.633206	11.232000	2.594258	0.000000	10.744000	2.753264	10.724000	2.637010	0.000000
126.000000	11.129000	2.608517	11.137000	2.630633	0.000000	10.782000	2.677027	10.737000	2.638907	0.000000
127.000000	11.160000	2.629905	11.149000	2.631121	0.000000	10.858000	2.651007	10.715000	2.673158	0.000000
128.000000	11.189000	2.645993	11.219000	2.676759	0.000000	10.758000	2.635799	10.659000	2.646265	0.000000
129.000000	11.142000	2.649875	11.134000	2.691105	0.000000	10.793000	2.667237	10.685000	2.647598	0.000000
130.000000	11.094000	2.661046	11.142000	2.692923	0.000000	10.788000	2.668531	10.690000	2.650641	0.000000
131.000000	11.088000	2.597356	11.157000	2.705984	0.000000	10.781000	2.677133	10.703000	2.612813	0.000000
132.000000	11.110000	2.647244	11.194000	2.713368	0.000000	10.786000	2.669120	10.700000	2.579922	0.000000
133.000000	11.061000	2.666323	11.165000	2.719150	0.000000	10.792000	2.707533	10.670000	2.641799	0.000000
134.000000	11.139000	2.704751	11.186000	2.686523	0.000000	10.745000	2.722862	10.672000	2.610444	0.000000
135.000000	11.075000	2.686517	11.181000	2.755402	0.000000	10.701000	2.744376	10.652000	2.551646	0.000000
136.000000	11.068000	2.635788	11.153000	2.739998	0.000000	10.657000	2.681669	10.673000	2.574504	0.000000
137.000000	11.092000	2.637714	11.138000	2.735865	0.000000	10.702000	2.709095	10.707000	2.580146	0.000000
138.000000	11.061000	2.690591	11.178000	2.721822	0.000000	10.704000	2.705251	10.715000	2.563157	0.000000
139.000000	11.112000	2.649803	11.174000	2.751677	0.000000	10.749000	2.703701	10.788000	2.630790	0.000000
140.000000	11.167000	2.603288	11.175000	2.796136	0.000000	10.725000	2.731918	10.728000	2.587280	0.000000
141.000000	11.197000	2.615376	11.227000	2.810244	0.000000	10.739000	2.696457	10.697000	2.539919	0.000000
142.000000	11.284000	2.611004	11.190000	2.783505	0.000000	10.761000	2.694045	10.636000	2.542342	0.000000
143.000000	11.225000	2.631421	11.194000	2.770625	0.000000	10.707000	2.688708	10.599000	2.580349	0.000000
144.000000	11.288000	2.654252	11.177000	2.751667	0.000000	10.697000	2.686855	10.568000	2.602955	0.000000
145.000000	11.294000	2.693244	11.180000	2.785606	0.000000	10.711000	2.697310	10.538000	2.645478	0.000000
146.000000	11.281000	2.633256	11.175000	2.715948	0.000000	10.726000	2.696094	10.591000	2.667156	0.000000
147.000000	11.274000	2.699801	11.128000	2.698447	0.000000	10.720000	2.641136	10.610000	2.782427	0.000000
148.000000	11.205000	2.646313	11.124000	2.665075	0.000000	10.750000	2.623643	10.605000	2.742440	0.000000
149.000000	11.186000	2.642235	11.129000	2.612730	0.000000	10.728000	2.639700	10.696000	2.696587	0.000000
150.000000	11.171000	2.620259	11.104000	2.675291	0.000000	10.785000	2.614340	10.652000	2.723398	0.000000
151.000000	11.181000	2.572983	11.111000	2.736180	0.000000	10.795000	2.591713	10.594000	2.656909	0.000000
152.000000	11.191000	2.596636	11.100000	2.710719	0.000000	10.782000	2.539385	10.563000	2.693702	0.000000
153.000000	11.107000	2.585643	11.075000	2.678316	0.000000	10.768000	2.545226	10.619000	2.766919	0.000000
154.000000	11.136000	2.572062	11.063000	2.677131	0.000000	10.760000	2.617709	10.676000	2.732586	0.000000
155.000000	11.161000	2.616692	10.978000	2.641120	0.000000	10.725000	2.615602	10.607000	2.715244	0.000000
156.000000	11.176000	2.636479	11.041000	2.674195	0.000000	10.666000	2.617335	10.618000	2.626800	0.000000
157.000000	11.176000	2.609794	11.032000	2.612848	0.000000	10.652000	2.701277	10.615000	2.667354	0.000000
158.000000	11.189000	2.648637	11.039000	2.643762	0.000000	10.708000	2.678943	10.631000	2.680082	0.000000
159.000000	11.186000	2.641856	11.065000	2.640601	0.000000	10.739000	2.677850	10.635000	2.666041	0.000000
160.000000	11.226000	2.597484	11.076000	2.698189	0.000000	10.752000	2.659792	10.673000	2.653313	0.000000
161.000000	11.168000	2.618736	10.944000	2.718982	0.000000	10.707000	2.653517	10.637000	2.681274	0.000000
162.000000	11.190000	2.550274	10.983000	2.698279	0.000000	10.721000	2.630810	10.721000	2.737729	0.000000
163.000000	11.158000	2.575468	10.916000	2.677488	0.000000	10.772000	2.639321	10.658000	2.722322	0.000000
164.000000	11.085000	2.682494	10.895000	2.666829	0.000000	10.688000	2.657189	10.685000	2.668665	0.000000
165.000000	11.022000	2.657351	10.873000	2.678222	0.000000	10.688000	2.633753	10.671000	2.700141	0.000000
166.000000	11.158000	2.551673	10.888000	2.629725	0.000000	10.660000	2.670655	10.700000	2.761883	0.000000
167.000000	11.090000	2.583002	10.914000	2.651529	0.000000	10.657000	2.674949	10.660000	2.759420	0.000000
168.000000	11.048000	2.586058	10.963000	2.563909	0.000000	10.670000	2.616314	10.599000	2.776004	0.000000
169.000000	11.019000	2.662825	10.955000	2.550093	0.000000	10.679000	2.673941	10.644000	2.719423	0.000000
