# time	avg1_50	std1_50	avg2_50	std2_50	avg_corr_50	avg1m_50	std1m_50	avg2m_50	std2m_50	avg_corrm_50
0.000000	0.000000	0.000000	0.000000	0.000000	0.346488	0.000000	0.000000	0.000000	0.000000	0.327433
1.000000	3.584000	1.811338	3.470000	1.808065	0.000000	3.525000	1.777463	3.425000	1.892188	0.000000
2.000000	6.448000	2.390250	6.411000	2.335825	0.000000	6.533000	2.358158	6.424000	2.482383	0.000000
3.000000	8.901000	2.715732	8.795000	2.717531	0.000000	8.971000	2.722161	8.827000	2.790532	0.000000
4.000000	11.058000	2.926540	10.958000	2.895555	0.000000	10.999000	2.926944	10.980000	3.092184	0.000000
5.000000	12.767000	3.012758	12.736000	3.164222	0.000000	12.660000	3.034535	12.607000	3.201336	0.000000
6.000000	14.208000	3.032282	14.090000	3.285103	0.000000	14.118000	3.308485	14.107000	3.302053	0.000000
7.000000	15.440000	3.141719	15.292000	3.266609	0.000000	15.336000	3.354565	15.394000	3.316438	0.000000
8.000000	16.472000	3.136434	16.335000	3.410685	0.000000	16.263000	3.447293	16.358000	3.387896	0.000000
9.000000	17.299000	3.247707	17.205000	3.443105	0.000000	17.009000	3.401899	17.156000	3.367442	0.000000
10.000000	17.983000	3.293131	17.910000	3.388200	0.000000	17.636000	3.392861	17.802000	3.365531	0.000000
11.000000	18.513000	3.332841	18.398000	3.388450	0.000000	18.062000	3.516839	18.379000	3.427442	0.000000
12.000000	18.942000	3.447120	18.956000	3.426378	0.000000	18.570000	3.552056	18.840000	3.455199	0.000000
13.000000	19.338000	3.540022	19.335000	3.527148	0.000000	18.937000	3.560201	19.146000	3.470833	0.000000
14.000000	19.683000	3.513476	19.618000	3.501439	0.000000	19.206000	3.624854	19.538000	3.549444	0.000000
15.000000	19.957000	3.489864	19.758000	3.619314	0.000000	19.376000	3.624448	19.680000	3.509644	0.000000
16.000000	20.204000	3.471942	20.051000	3.529929	0.000000	19.645000	3.623117	19.890000	3.537499	0.000000
17.000000	20.397000	3.427447	20.201000	3.539576	0.000000	19.725000	3.631167	20.015000	3.552854	0.000000
18.000000	20.616000	3.501792	20.382000	3.590832	0.000000	19.791000	3.545041	20.067000	3.584761	0.000000
19.000000	20.615000	3.513513	20.458000	3.552779	0.000000	19.988000	3.566771	20.182000	3.600677	0.000000
20.000000	20.770000	3.468299	20.602000	3.572338	0.000000	20.109000	3.604874	20.196000	3.537172	0.000000
21.000000	20.828000	3.456069	20.638000	3.500994	0.000000	20.195000	3.612613	20.189000	3.549546	0.000000
22.000000	20.754000	3.396982	20.597000	3.500941	0.000000	20.116000	3.563782	20.183000	3.500216	0.000000
23.000000	20.860000	3.433133	20.577000	3.488276	0.000000	20.154000	3.548561	20.155000	3.511549	0.000000
24.000000	20.816000	3.499735	20.651000	3.424792	0.000000	20.188000	3.539867	20.083000	3.520243	0.000000
25.000000	20.872000	3.592160	20.667000	3.445303	0.000000	20.140000	3.545194	20.098000	3.557021	0.000000
26.000000	20.843000	3.483440	20.689000	3.536139	0.000000	20.050000	3.455648	20.061000	3.601566	0.000000
27.000000	20.826000	3.503958	20.645000	3.554008	0.000000	20.037000	3.572622	20.131000	3.602754	0.000000
28.000000	20.794000	3.469231	20.663000	3.596586	0.000000	20.003000	3.498999	20.092000	3.598546	0.000000
29.000000	20.785000	3.483213	20.559000	3.553944	0.000000	19.988000	3.480497	20.077000	3.603758	0.000000
30.000000	20.691000	3.435334	20.618000	3.617192	0.000000	20.027000	3.396803	20.046000	3.603038	0.000000
31.000000	20.665000	3.375615	20.594000	3.556566	0.000000	20.085000	3.473582	20.076000	3.576063	0.000000
32.000000	20.693000	3.367900	20.626000	3.512282	0.000000	20.100000	3.599444	20.052000	3.554616	0.000000
33.000000	20.685000	3.392311	20.513000	3.438289	0.000000	20.029000	3.595019	19.941000	3.529238	0.000000
34.000000	20.587000	3.452308	20.477000	3.446371	0.000000	19.953000	3.567463	19.978000	3.468648	0.000000
35.000000	20.586000	3.427040	20.393000	3.450587	0.000000	20.024000	3.495057	19.972000	3.514430	0.000000
36.000000	20.464000	3.451479	20.319000	3.478684	0.000000	19.928000	3.566906	19.881000	3.531691	0.000000
37.000000	20.422000	3.540327	20.296000	3.398880	0.000000	19.831000	3.546328	19.882000	3.572965	0.000000
38.000000	20.341000	3.512367	20.270000	3.418348	0.000000	19.821000	3.481230	19.780000	3.524996	0.000000
39.000000	20.285000	3.477035	20.241000	3.452089	0.000000	19.677000	3.419747	19.721000	3.532868	0.000000
40.000000	20.334000	3.479432	20.112000	3.327380	0.000000	19.609000	3.458630	19.567000	3.562795	0.000000
41.000000	20.267000	3.508520	20.125000	3.317134	0.000000	19.525000	3.515590	19.497000	3.478217	0.000000
42.000000	20.123000	3.466392	20.045000	3.328209	0.000000	19.493000	3.472456	19.395000	3.520082	0.000000
43.000000	20.086000	3.490359	20.112000	3.419277	0.000000	19.513000	3.548779	19.388000	3.513610	0.000000
44.000000	20.049000	3.481178	20.193000	3.430124	0.000000	19.468000	3.612890	19.282000	3.323925	0.000000
45.000000	19.957000	3.471189	20.159000	3.521323	0.000000	19.420000	3.442906	19.216000	3.440253	0.000000
46.000000	19.880000	3.396410	20.054000	3.573106	0.000000	19.352000	3.467866	19.241000	3.520642	0.000000
47.000000	19.886000	3.478650	19.989000	3.525745	0.000000	19.316000	3.414695	19.231000	3.548752	0.000000
48.000000	19.900000	3.517385	19.994000	3.462942	0.000000	19.319000	3.496175	19.107000	3.528392	0.000000
49.000000	19.882000	3.512844	20.043000	3.477808	0.000000	19.268000	3.529614	19.098000	3.462137	0.000000
50.000000	19.905000	3.585802	19.980000	3.602999	0.000000	19.154000	3.513728	19.202000	3.385734	0.000000
51.000000	19.920000	3.557752	19.937000	3.628640	0.000000	19.153000	3.544516	19.101000	3.398941	0.000000
52.000000	19.921000	3.473148	19.812000	3.549459	0.000000	19.094000	3.486999	19.032000	3.407488	0.000000
53.000000	19.819000	3.369012	19.757000	3.505988	0.000000	19.081000	3.558432	18.977000	3.380011	0.000000
54.000000	19.846000	3.331409	19.652000	3.520639	0.000000	19.082000	3.569212	18.891000	3.386609	0.000000
55.000000	19.813000	3.336470	19.550000	3.534615	0.000000	19.055000	3.594993	18.968000	3.492703	0.000000
56.000000	19.790000	3.465530	19.521000	3.561960	0.000000	18.946000	3.586793	18.880000	3.484480	0.000000
57.000000	19.739000	3.491830	19.488000	3.619372	0.000000	18.958000	3.542349	18.817000	3.497072	0.000000
58.000000	19.738000	3.507614	19.487000	3.679107	0.000000	18.869000	3.597755	18.745000	3.536944	0.000000
59.000000	19.747000	3.526328	19.496000	3.625739	0.000000	18.959000	3.555182	18.699000	3.546886	0.000000
60.000000	19.772000	3.581343	19.468000	3.573370	0.000000	18.917000	3.598626	18.661000	3.618021	0.000000
61.000000	19.704000	3.522837	19.399000	3.540875	0.000000	18.812000	3.510649	18.578000	3.578535	0.000000
62.000000	19.661000	3.507432	19.249000	3.494424	0.000000	18.785000	3.486657	18.628000	3.513633	0.000000
63.000000	19.576000	3.465288	19.273000	3.439254	0.000000	18.741000	3.468994	18.536000	3.479469	0.000000
64.000000	19.544000	3.451965	19.200000	3.517670	0.000000	18.695000	3.413206	18.531000	3.461364	0.000000
65.000000	19.522000	3.459410	19.219000	3.452975	0.000000	18.673000	3.464112	18.566000	3.448136	0.000000
66.000000	19.518000	3.374563	19.295000	3.536096	0.000000	18.673000	3.541479	18.459000	3.399164	0.000000
67.000000	19.524000	3.363841	19.279000	3.541915	0.000000	18.645000	3.561597	18.497000	3.474477	0.000000
